FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
spec0001.a.fits,A,44 Nysa,target,moving,+19:44:04.92,-21:29:49.9,2001/9/28,06:47.6,52180.21305,1.345,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0002.b.fits,B,44 Nysa,target,moving,+19:44:04.92,-21:29:42.7,2001/9/28,07:40.5,52180.21366,1.344,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0003.a.fits,A,44 Nysa,target,moving,+19:44:05.05,-21:29:50.7,2001/9/28,10:52.7,52180.21589,1.342,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0004.b.fits,B,44 Nysa,target,moving,+19:44:05.05,-21:29:43.3,2001/9/28,11:45.6,52180.2165,1.341,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0005.b.fits,B,44 Nysa,target,moving,+19:44:05.09,-21:29:43.5,2001/9/28,12:33.4,52180.21705,1.341,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0006.a.fits,A,44 Nysa,target,moving,+19:44:05.11,-21:29:51.1,2001/9/28,13:26.3,52180.21767,1.34,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0007.a.fits,A,44 Nysa,target,moving,+19:44:05.14,-21:29:51.2,2001/9/28,14:14.2,52180.21822,1.339,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0008.b.fits,B,44 Nysa,target,moving,+19:44:05.16,-21:29:43.9,2001/9/28,15:07.1,52180.21883,1.339,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0009.b.fits,B,44 Nysa,target,moving,+19:44:05.18,-21:29:44.1,2001/9/28,15:55.0,52180.21939,1.338,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0010.a.fits,A,44 Nysa,target,moving,+19:44:05.22,-21:29:51.7,2001/9/28,16:47.9,52180.22,1.338,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0011.a.fits,A,44 Nysa,target,moving,+19:44:05.23,-21:29:51.6,2001/9/28,17:35.7,52180.22055,1.337,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0012.b.fits,B,44 Nysa,target,moving,+19:44:05.24,-21:29:44.3,2001/9/28,18:28.6,52180.22116,1.337,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0013.a.fits,A,44 Nysa,target,moving,+19:44:05.28,-21:29:52.2,2001/9/28,20:03.4,52180.22226,1.336,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0014.b.fits,B,44 Nysa,target,moving,+19:44:05.30,-21:29:44.9,2001/9/28,20:56.3,52180.22287,1.335,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0015.b.fits,B,44 Nysa,target,moving,+19:44:05.31,-21:29:45.1,2001/9/28,21:44.1,52180.22343,1.335,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0016.a.fits,A,44 Nysa,target,moving,+19:44:05.34,-21:29:52.5,2001/9/28,22:36.9,52180.22404,1.335,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0017.a.fits,A,44 Nysa,target,moving,+19:44:05.37,-21:29:52.6,2001/9/28,23:24.9,52180.22459,1.334,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0018.b.fits,B,44 Nysa,target,moving,+19:44:05.38,-21:29:45.3,2001/9/28,24:17.8,52180.22521,1.334,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0019.b.fits,B,44 Nysa,target,moving,+19:44:05.39,-21:29:45.4,2001/9/28,25:07.0,52180.22578,1.334,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0020.a.fits,A,44 Nysa,target,moving,+19:44:05.43,-21:29:52.8,2001/9/28,26:00.0,52180.22639,1.333,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0021.a.fits,A,44 Nysa,target,moving,+19:44:05.44,-21:29:52.9,2001/9/28,26:47.7,52180.22694,1.333,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0022.b.fits,B,44 Nysa,target,moving,+19:44:05.45,-21:29:45.5,2001/9/28,27:40.6,52180.22755,1.333,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0023.b.fits,B,44 Nysa,target,moving,+19:44:05.47,-21:29:45.6,2001/9/28,28:28.4,52180.22811,1.333,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0024.a.fits,A,44 Nysa,target,moving,+19:44:05.49,-21:29:53.1,2001/9/28,29:21.2,52180.22872,1.332,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
