FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt40450.a.fits,A,HD 186427,standard,fixed,+19:41:52.13,+50:31:02.1,2001/9/24,15:23.1,52176.21902,1.173,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt40451.b.fits,B,HD 186427,standard,fixed,+19:41:52.12,+50:31:09.5,2001/9/24,15:58.3,52176.21942,1.172,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt40452.b.fits,B,HD 186427,standard,fixed,+19:41:52.12,+50:31:09.6,2001/9/24,16:30.4,52176.2198,1.172,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt40453.a.fits,A,HD 186427,standard,fixed,+19:41:52.14,+50:31:01.9,2001/9/24,17:05.6,52176.2202,1.172,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt40454.a.fits,A,HD 186427,standard,fixed,+19:41:52.17,+50:31:01.8,2001/9/24,17:37.9,52176.22058,1.172,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt40455.b.fits,B,HD 186427,standard,fixed,+19:41:52.17,+50:31:09.3,2001/9/24,18:13.1,52176.22098,1.171,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
flat0456.a.fits,A,flat lamp,calibration,fixed,+19:41:52.20,+50:31:01.7,2001/9/24,19:21.4,52176.22178,1.171,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0457.a.fits,A,flat lamp,calibration,fixed,+19:41:52.20,+50:31:01.7,2001/9/24,19:47.6,52176.22208,1.171,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0458.a.fits,A,flat lamp,calibration,fixed,+19:41:52.20,+50:31:01.7,2001/9/24,20:13.9,52176.22238,1.17,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0459.a.fits,A,flat lamp,calibration,fixed,+19:41:52.20,+50:31:01.7,2001/9/24,20:40.1,52176.22269,1.17,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0460.a.fits,A,flat lamp,calibration,fixed,+19:41:52.21,+50:31:01.7,2001/9/24,21:06.3,52176.22299,1.17,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0461.a.fits,A,arc lamp,calibration,fixed,+19:41:52.20,+50:31:01.7,2001/9/24,21:39.7,52176.22338,1.17,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40462.a.fits,A,HD 184509,standard,fixed,+19:35:35.86,-20:46:56.7,2001/9/24,36:19.1,52176.23355,1.318,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
nt40463.b.fits,B,HD 184509,standard,fixed,+19:35:35.85,-20:46:49.2,2001/9/24,37:00.5,52176.23403,1.318,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
nt40464.b.fits,B,HD 184509,standard,fixed,+19:35:35.85,-20:46:49.3,2001/9/24,37:38.3,52176.23447,1.318,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
nt40465.a.fits,A,HD 184509,standard,fixed,+19:35:35.89,-20:46:56.8,2001/9/24,38:19.0,52176.23494,1.318,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
nt40466.a.fits,A,HD 184509,standard,fixed,+19:35:35.90,-20:46:56.8,2001/9/24,38:57.0,52176.23538,1.318,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
nt40467.b.fits,B,HD 184509,standard,fixed,+19:35:35.89,-20:46:49.3,2001/9/24,39:37.7,52176.23585,1.317,0.7,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 184509,F8.5V,HighPM*,7.27,6.74,6.60695,5.692,5.432,5.362,
flat0468.a.fits,A,flat lamp,calibration,fixed,+19:35:35.91,-20:46:56.9,2001/9/24,40:46.1,52176.23664,1.317,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0469.a.fits,A,flat lamp,calibration,fixed,+19:35:35.91,-20:46:56.9,2001/9/24,41:12.3,52176.23695,1.317,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0470.a.fits,A,flat lamp,calibration,fixed,+19:35:35.91,-20:46:56.9,2001/9/24,41:38.6,52176.23725,1.317,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0471.a.fits,A,flat lamp,calibration,fixed,+19:35:35.91,-20:46:56.9,2001/9/24,42:04.8,52176.23756,1.317,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0472.a.fits,A,flat lamp,calibration,fixed,+19:35:35.91,-20:46:56.9,2001/9/24,42:31.0,52176.23786,1.317,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0473.a.fits,A,arc lamp,calibration,fixed,+19:35:35.92,-20:46:56.9,2001/9/24,43:04.3,52176.23824,1.317,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40474.a.fits,A,2001 NX17,target,moving,+19:27:25.06,-17:45:39.1,2001/9/24,50:10.3,52176.24317,1.265,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40475.b.fits,B,2001 NX17,target,moving,+19:27:25.10,-17:45:31.4,2001/9/24,52:31.2,52176.24481,1.266,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40476.b.fits,B,2001 NX17,target,moving,+19:27:25.17,-17:45:31.0,2001/9/24,54:49.0,52176.2464,1.267,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40477.a.fits,A,2001 NX17,target,moving,+19:27:25.22,-17:45:38.5,2001/9/24,57:09.8,52176.24803,1.269,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40478.a.fits,A,2001 NX17,target,moving,+19:27:25.29,-17:45:38.1,2001/9/24,59:27.6,52176.24962,1.27,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt40479.b.fits,B,2001 NX17,target,moving,+19:27:25.32,-17:45:31.0,2001/9/24,01:48.4,52176.25125,1.272,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
