FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
spec0001.a.fits,A,BS5996,standard,fixed,+16:07:03.60,-14:04:20.2,2001/8/8,40:43.1,52129.27828,1.288,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0002.b.fits,B,BS5996,standard,fixed,+16:07:03.58,-14:04:12.6,2001/8/8,40:53.3,52129.27839,1.289,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0003.b.fits,B,BS5996,standard,fixed,+16:07:03.60,-14:04:12.6,2001/8/8,40:58.4,52129.27845,1.289,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0004.a.fits,A,BS5996,standard,fixed,+16:07:03.60,-14:04:20.3,2001/8/8,41:08.5,52129.27857,1.289,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0005.a.fits,A,BS5996,standard,fixed,+16:07:03.59,-14:04:20.3,2001/8/8,41:13.7,52129.27863,1.29,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0006.b.fits,B,BS5996,standard,fixed,+16:07:03.60,-14:04:12.6,2001/8/8,41:23.7,52129.27875,1.29,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0007.b.fits,B,BS5996,standard,fixed,+16:07:03.61,-14:04:12.7,2001/8/8,41:28.7,52129.2788,1.29,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0008.a.fits,A,BS5996,standard,fixed,+16:07:03.60,-14:04:20.4,2001/8/8,41:38.8,52129.27892,1.29,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0009.a.fits,A,BS5996,standard,fixed,+16:07:03.59,-14:04:20.3,2001/8/8,41:43.8,52129.27898,1.291,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0010.b.fits,B,BS5996,standard,fixed,+16:07:03.62,-14:04:12.6,2001/8/8,41:53.8,52129.2791,1.291,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0011.b.fits,B,BS5996,standard,fixed,+16:07:03.62,-14:04:12.6,2001/8/8,41:58.8,52129.27915,1.291,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0012.a.fits,A,BS5996,standard,fixed,+16:07:03.62,-14:04:20.3,2001/8/8,42:08.9,52129.27927,1.291,0.4,6,spex,0.5x15,Prism,2001B072,Kelley,HD 144585,G2V,HighPM*,6.98,6.32,6.160456,5.181,4.97,4.8,
spec0013.a.fits,A,SAO143111,standard,fixed,+19:11:09.51,-02:38:11.6,2001/8/8,15:27.5,52129.3024,1.136,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0014.b.fits,B,SAO143111,standard,fixed,+19:11:09.51,-02:38:04.0,2001/8/8,15:34.7,52129.30249,1.136,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0015.b.fits,B,SAO143111,standard,fixed,+19:11:09.52,-02:38:04.3,2001/8/8,15:36.9,52129.30251,1.136,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0016.a.fits,A,SAO143111,standard,fixed,+19:11:09.50,-02:38:11.8,2001/8/8,15:44.3,52129.3026,1.136,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0017.a.fits,A,SAO143111,standard,fixed,+19:11:09.50,-02:38:11.8,2001/8/8,15:46.5,52129.30262,1.136,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0018.b.fits,B,SAO143111,standard,fixed,+19:11:09.49,-02:38:04.1,2001/8/8,15:53.7,52129.3027,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0019.b.fits,B,SAO143111,standard,fixed,+19:11:09.51,-02:38:04.1,2001/8/8,15:55.9,52129.30273,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0020.a.fits,A,SAO143111,standard,fixed,+19:11:09.49,-02:38:11.6,2001/8/8,16:03.1,52129.30281,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0021.a.fits,A,SAO143111,standard,fixed,+19:11:09.50,-02:38:11.6,2001/8/8,16:05.3,52129.30284,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0022.b.fits,B,SAO143111,standard,fixed,+19:11:09.53,-02:38:03.9,2001/8/8,16:12.7,52129.30292,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0023.b.fits,B,SAO143111,standard,fixed,+19:11:09.54,-02:38:04.1,2001/8/8,16:14.9,52129.30295,1.135,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0024.a.fits,A,SAO143111,standard,fixed,+19:11:09.51,-02:38:11.7,2001/8/8,16:22.1,52129.30303,1.134,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0025.a.fits,A,SAO143111,standard,fixed,+19:11:09.56,-02:38:12.2,2001/8/8,22:18.1,52129.30715,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0026.b.fits,B,SAO143111,standard,fixed,+19:11:09.56,-02:38:04.7,2001/8/8,22:25.5,52129.30724,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0027.b.fits,B,SAO143111,standard,fixed,+19:11:09.57,-02:38:04.7,2001/8/8,22:27.7,52129.30727,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0028.a.fits,A,SAO143111,standard,fixed,+19:11:09.57,-02:38:12.5,2001/8/8,22:35.1,52129.30735,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0029.a.fits,A,SAO143111,standard,fixed,+19:11:09.54,-02:38:12.4,2001/8/8,22:37.4,52129.30738,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0030.b.fits,B,SAO143111,standard,fixed,+19:11:09.58,-02:38:04.8,2001/8/8,22:44.6,52129.30746,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0031.b.fits,B,SAO143111,standard,fixed,+19:11:09.58,-02:38:04.8,2001/8/8,22:46.8,52129.30749,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0032.a.fits,A,SAO143111,standard,fixed,+19:11:09.58,-02:38:12.4,2001/8/8,22:54.0,52129.30757,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0033.a.fits,A,SAO143111,standard,fixed,+19:11:09.56,-02:38:12.6,2001/8/8,22:56.2,52129.30759,1.125,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0034.b.fits,B,SAO143111,standard,fixed,+19:11:09.59,-02:38:04.9,2001/8/8,23:03.5,52129.30768,1.124,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0035.b.fits,B,SAO143111,standard,fixed,+19:11:09.59,-02:38:04.9,2001/8/8,23:05.7,52129.30771,1.124,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0036.a.fits,A,SAO143111,standard,fixed,+19:11:09.60,-02:38:12.4,2001/8/8,23:12.9,52129.30779,1.124,1,1,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0037.a.fits,A,246 Asporina,ignored,moving,+19:23:34.38,-04:57:26.0,2001/8/8,25:52.1,52129.30963,1.159,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0038.a.fits,A,246 Asporina,ignored,moving,+19:23:34.31,-04:57:27.7,2001/8/8,27:54.4,52129.31105,1.153,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0039.b.fits,B,246 Asporina,ignored,moving,+19:23:34.29,-04:57:21.5,2001/8/8,30:16.8,52129.31269,1.15,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0040.a.fits,A,246 Asporina,target,moving,+19:23:34.22,-04:57:30.5,2001/8/8,33:44.4,52129.3151,1.145,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0041.b.fits,B,246 Asporina,target,moving,+19:23:34.20,-04:57:23.8,2001/8/8,35:36.7,52129.3164,1.143,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0042.b.fits,B,246 Asporina,ignored,moving,+19:23:34.20,-04:57:25.0,2001/8/8,37:24.0,52129.31764,1.14,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0043.a.fits,A,246 Asporina,ignored,moving,+19:23:34.14,-04:57:33.0,2001/8/8,39:16.5,52129.31894,1.138,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0044.a.fits,A,246 Asporina,target,moving,+19:23:34.09,-04:57:34.3,2001/8/8,41:03.8,52129.32018,1.135,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0045.b.fits,B,246 Asporina,target,moving,+19:23:34.07,-04:57:27.7,2001/8/8,42:56.2,52129.32148,1.133,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0046.a.fits,A,246 Asporina,target,moving,+19:23:33.98,-04:57:37.0,2001/8/8,45:56.4,52129.32357,1.13,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0047.b.fits,B,246 Asporina,target,moving,+19:23:33.96,-04:57:29.7,2001/8/8,47:48.8,52129.32487,1.127,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0048.b.fits,B,246 Asporina,target,moving,+19:23:33.93,-04:57:30.7,2001/8/8,49:36.1,52129.32611,1.125,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0049.a.fits,A,246 Asporina,target,moving,+19:23:33.88,-04:57:39.0,2001/8/8,51:28.5,52129.32741,1.124,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0050.a.fits,A,246 Asporina,target,moving,+19:23:33.83,-04:57:39.8,2001/8/8,53:15.8,52129.32865,1.122,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0051.b.fits,B,246 Asporina,target,moving,+19:23:33.82,-04:57:33.1,2001/8/8,55:08.0,52129.32995,1.12,90,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0052.a.fits,A,SAO143111,ignored,fixed,+19:11:09.76,-02:38:14.6,2001/8/8,00:24.8,52129.33362,1.089,1,6,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0053.a.fits,A,SAO143111,ignored,fixed,+19:11:09.75,-02:38:14.6,2001/8/8,00:34.6,52129.33373,1.089,1,6,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
spec0054.a.fits,A,SAO143111,ignored,fixed,+19:11:09.75,-02:38:14.8,2001/8/8,00:44.3,52129.33385,1.089,1,6,spex,0.5x15,Prism,2001B072,Kelley,HD 179079,G5IV,HighPM*,8.66,7.96,7.787227,6.734,6.402,6.311,
