FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt20229.a.fits,A,HD 168009,standard,fixed,+18:15:32.53,+45:12:31.9,2001/9/22,13:20.1,52174.21759,1.12,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
nt20230.b.fits,B,HD 168009,standard,fixed,+18:15:32.51,+45:12:39.3,2001/9/22,13:45.5,52174.21789,1.12,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
nt20231.b.fits,B,HD 168009,standard,fixed,+18:15:32.50,+45:12:39.2,2001/9/22,14:06.4,52174.21813,1.12,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
nt20232.a.fits,A,HD 168009,standard,fixed,+18:15:32.55,+45:12:31.7,2001/9/22,14:31.7,52174.21842,1.121,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
nt20233.a.fits,A,HD 168009,standard,fixed,+18:15:32.54,+45:12:31.8,2001/9/22,14:53.2,52174.21867,1.121,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
nt20234.b.fits,B,HD 168009,standard,fixed,+18:15:32.50,+45:12:39.2,2001/9/22,15:18.7,52174.21897,1.121,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 168009,G1V,HighPM*,6.931,6.298,6.149785,5.12,4.836,4.756,
flat0235.a.fits,A,flat lamp,calibration,fixed,+18:15:32.55,+45:12:31.8,2001/9/22,16:34.7,52174.21985,1.122,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0236.a.fits,A,flat lamp,calibration,fixed,+18:15:32.55,+45:12:31.8,2001/9/22,17:00.8,52174.22015,1.122,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0237.a.fits,A,flat lamp,calibration,fixed,+18:15:32.55,+45:12:31.8,2001/9/22,17:27.1,52174.22045,1.123,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0238.a.fits,A,flat lamp,calibration,fixed,+18:15:32.55,+45:12:31.8,2001/9/22,17:53.4,52174.22076,1.123,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0239.a.fits,A,flat lamp,calibration,fixed,+18:15:32.56,+45:12:31.8,2001/9/22,18:19.6,52174.22106,1.123,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0240.a.fits,A,arc lamp,calibration,fixed,+18:15:32.55,+45:12:31.8,2001/9/22,18:52.8,52174.22144,1.123,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt20241.a.fits,A,HD 186427,standard,fixed,+19:41:51.98,+50:31:02.5,2001/9/22,32:36.7,52174.23098,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20242.b.fits,B,HD 186427,standard,fixed,+19:41:51.93,+50:31:09.9,2001/9/22,32:49.0,52174.23112,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20243.b.fits,B,HD 186427,standard,fixed,+19:41:51.93,+50:31:09.9,2001/9/22,32:56.3,52174.23121,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20244.a.fits,A,HD 186427,standard,fixed,+19:41:51.99,+50:31:02.4,2001/9/22,33:08.8,52174.23135,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20245.a.fits,A,HD 186427,standard,fixed,+19:41:51.99,+50:31:02.5,2001/9/22,33:18.6,52174.23147,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20246.b.fits,B,HD 186427,standard,fixed,+19:41:51.95,+50:31:10.0,2001/9/22,33:31.0,52174.23161,1.168,0.32,10,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20247.a.fits,A,HD 186427,standard,fixed,+19:41:51.99,+50:31:02.3,2001/9/22,33:55.2,52174.23189,1.168,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20248.b.fits,B,HD 186427,standard,fixed,+19:41:51.96,+50:31:09.8,2001/9/22,34:20.7,52174.23218,1.168,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20249.b.fits,B,HD 186427,standard,fixed,+19:41:51.96,+50:31:09.7,2001/9/22,34:41.3,52174.23242,1.168,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20250.a.fits,A,HD 186427,standard,fixed,+19:41:52.02,+50:31:02.2,2001/9/22,35:06.7,52174.23272,1.167,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20251.a.fits,A,HD 186427,standard,fixed,+19:41:52.00,+50:31:02.2,2001/9/22,35:27.9,52174.23296,1.167,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt20252.b.fits,B,HD 186427,standard,fixed,+19:41:51.98,+50:31:09.5,2001/9/22,35:53.4,52174.23326,1.167,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
flat0253.a.fits,A,flat lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,36:46.7,52174.23387,1.167,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0254.a.fits,A,flat lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,37:13.0,52174.23418,1.167,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0255.a.fits,A,flat lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,37:39.2,52174.23448,1.166,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0256.a.fits,A,flat lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,38:05.6,52174.23479,1.166,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0257.a.fits,A,flat lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,38:32.5,52174.2351,1.166,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0258.a.fits,A,arc lamp,calibration,fixed,+19:41:52.02,+50:31:02.0,2001/9/22,39:04.9,52174.23547,1.166,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt20259.a.fits,A,2001 NX17,standard,moving,+19:26:24.50,-17:49:41.2,2001/9/22,59:34.4,52174.2497,1.267,120,1,spex,0.5x15,Prism,2001B099,Sheppard,GALEX J192624.9-174949,,HotSubdwarf_Candidate,0,0,18.854916,0,0,0,
nt20260.b.fits,B,2001 NX17,standard,moving,+19:26:24.52,-17:49:33.4,2001/9/22,01:57.9,52174.25136,1.269,120,1,spex,0.5x15,Prism,2001B099,Sheppard,GALEX J192624.9-174949,,HotSubdwarf_Candidate,0,0,18.854916,0,0,0,
nt20261.b.fits,B,2001 NX17,standard,moving,+19:26:24.59,-17:49:33.4,2001/9/22,04:15.7,52174.25296,1.27,120,1,spex,0.5x15,Prism,2001B099,Sheppard,GALEX J192624.9-174949,,HotSubdwarf_Candidate,0,0,18.854916,0,0,0,
