FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt10001.a.fits,A,HD186427,standard,fixed,+19:41:52.46,+50:31:00.6,2001/9/21,01:39.7,52173.25115,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt10002.b.fits,B,HD186427,standard,fixed,+19:41:52.41,+50:31:07.9,2001/9/21,02:17.0,52173.25159,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt10003.b.fits,B,HD186427,standard,fixed,+19:41:52.42,+50:31:07.9,2001/9/21,02:49.2,52173.25196,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt10004.a.fits,A,HD186427,standard,fixed,+19:41:52.48,+50:31:00.3,2001/9/21,03:26.5,52173.25239,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt10005.a.fits,A,HD186427,standard,fixed,+19:41:52.46,+50:31:00.2,2001/9/21,03:58.8,52173.25276,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt10006.b.fits,B,HD186427,standard,fixed,+19:41:52.43,+50:31:07.6,2001/9/21,04:36.1,52173.2532,1.163,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
flat0007.a.fits,A,flat lamp,calibration,fixed,+19:41:52.50,+50:31:00.1,2001/9/21,11:00.0,52173.25764,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0008.a.fits,A,flat lamp,calibration,fixed,+19:41:52.51,+50:31:00.1,2001/9/21,11:26.4,52173.25794,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0009.a.fits,A,flat lamp,calibration,fixed,+19:41:52.51,+50:31:00.1,2001/9/21,11:52.6,52173.25825,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0010.a.fits,A,flat lamp,calibration,fixed,+19:41:52.52,+50:31:00.1,2001/9/21,12:18.8,52173.25855,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
