FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
sp8.2001.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.39,+00:08:04.2,2001/8/24,46:31.3,52145.24064,1.108,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2002.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.42,+00:08:11.7,2001/8/24,48:10.8,52145.24179,1.106,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2003.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.42,+00:08:11.5,2001/8/24,49:44.6,52145.24288,1.104,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2004.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.42,+00:08:03.8,2001/8/24,51:23.5,52145.24402,1.101,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2005.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.42,+00:08:03.7,2001/8/24,52:57.3,52145.24511,1.099,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2006.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.40,+00:08:11.2,2001/8/24,54:36.2,52145.24625,1.097,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2007.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.44,+00:08:11.1,2001/8/24,56:10.1,52145.24734,1.095,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2008.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.41,+00:08:03.4,2001/8/24,57:49.0,52145.24848,1.094,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2009.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.42,+00:08:03.3,2001/8/24,59:22.9,52145.24957,1.092,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp8.2010.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.44,+00:08:10.7,2001/8/24,01:01.7,52145.25071,1.09,30,2,spex,0.8x15,Prism,2001B028,Binzel,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
flat2011.a.fits,A,flat lamp,calibration,fixed,+18:42:45.43,+00:08:03.0,2001/8/24,03:23.2,52145.25235,1.089,0.6,20,spex,0.8x15,Prism,2001B028,Binzel,,,,,,,,,,
flat2012.a.fits,A,flat lamp,calibration,fixed,+18:42:45.42,+00:08:03.0,2001/8/24,03:46.5,52145.25262,1.088,0.6,20,spex,0.8x15,Prism,2001B028,Binzel,,,,,,,,,,
flat2013.a.fits,A,flat lamp,calibration,fixed,+18:42:45.43,+00:08:03.0,2001/8/24,04:09.9,52145.25289,1.088,0.6,20,spex,0.8x15,Prism,2001B028,Binzel,,,,,,,,,,
