FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_SEP,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
flat0001.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:37:16.184307,51957.27588176281,1.136,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0002.a.fits,A,flat lamp,calibration,fixed,+07:35:15.58,+40:30:16.8,2001-02-17,06:37:42.088309,51957.276181577654,1.135,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0003.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:38:07.892247,51957.27648023434,1.134,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0004.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:38:33.717441,51957.27677913705,1.133,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0005.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:38:59.574293,51957.27707840617,1.133,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0006.a.fits,A,flat lamp,calibration,fixed,+07:35:15.58,+40:30:16.8,2001-02-17,06:42:02.709100,51957.27919802199,1.128,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0007.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:42:28.517587,51957.27949673133,1.128,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0008.a.fits,A,flat lamp,calibration,fixed,+07:35:15.58,+40:30:16.8,2001-02-17,06:42:54.299483,51957.279795132905,1.127,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0009.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:43:20.142872,51957.280094246205,1.127,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
flat0010.a.fits,A,flat lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:43:46.029947,51957.28039386513,1.126,1.05,12,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
arc0011.a.fits,A,arc lamp,calibration,fixed,+07:35:15.59,+40:30:16.8,2001-02-17,06:44:17.957283,51957.280763394476,1.126,0.18,10,spex,0.5x15,Prism,2001A109,Emery,8.632347,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
sao418690012.a.fits,A,sao 41869,standard,fixed,+07:35:15.67,+40:30:17.3,2001-02-17,06:49:56.874558,51957.28468604812,1.113,4.0,30,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
sao418690013.b.fits,B,sao 41869,standard,fixed,+07:35:15.67,+40:30:24.9,2001-02-17,06:53:50.654767,51957.287391837584,1.109,4.0,30,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
teucer0014.a.fits,A,2797 teucer,target,moving,+07:32:04.13,+41:58:07.3,2001-02-17,07:04:31.256090,51957.29480620474,1.106,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0015.b.fits,B,2797 teucer,target,moving,+07:32:04.09,+41:58:14.9,2001-02-17,07:06:53.766157,51957.29645562682,1.104,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0016.b.fits,B,2797 teucer,target,moving,+07:32:04.06,+41:58:14.9,2001-02-17,07:09:11.091813,51957.29804504413,1.102,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0017.a.fits,A,2797 teucer,target,moving,+07:32:04.04,+41:58:07.6,2001-02-17,07:11:33.438745,51957.29969257807,1.1,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0018.a.fits,A,2797 teucer,target,moving,+07:32:04.00,+41:58:07.6,2001-02-17,07:13:50.793508,51957.30128233227,1.098,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0019.b.fits,B,2797 teucer,target,moving,+07:32:03.93,+41:58:15.1,2001-02-17,07:16:13.601328,51957.302935200554,1.096,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0020.b.fits,B,2797 teucer,target,moving,+07:32:03.90,+41:58:15.1,2001-02-17,07:18:31.002083,51957.304525487074,1.095,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0021.a.fits,A,2797 teucer,target,moving,+07:32:03.84,+41:58:07.4,2001-02-17,07:20:53.373012,51957.30617329875,1.093,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
sao418690022.a.fits,A,sao 41869,standard,fixed,+07:35:16.20,+40:30:22.3,2001-02-17,07:24:23.777187,51957.30860853226,1.083,3.0,5,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
sao418690023.b.fits,B,sao 41869,standard,fixed,+07:35:16.19,+40:30:29.6,2001-02-17,07:24:57.542714,51957.308999336965,1.083,3.0,5,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
teucer0024.a.fits,A,2797 teucer,target,moving,+07:32:03.54,+41:58:06.8,2001-02-17,07:28:09.476388,51957.311220791526,1.089,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0025.b.fits,B,2797 teucer,target,moving,+07:32:03.50,+41:58:14.0,2001-02-17,07:30:31.926716,51957.312869522175,1.088,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0026.b.fits,B,2797 teucer,target,moving,+07:32:03.44,+41:58:14.3,2001-02-17,07:32:49.291605,51957.31445939358,1.086,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0027.a.fits,A,2797 teucer,target,moving,+07:32:03.40,+41:58:07.0,2001-02-17,07:35:11.660770,51957.31610718484,1.085,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0028.a.fits,A,2797 teucer,target,moving,+07:32:03.35,+41:58:06.9,2001-02-17,07:37:29.093655,51957.31769784323,1.084,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0029.b.fits,B,2797 teucer,target,moving,+07:32:03.27,+41:58:14.4,2001-02-17,07:39:51.473302,51957.31934575581,1.084,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0030.b.fits,B,2797 teucer,target,moving,+07:32:03.21,+41:58:14.2,2001-02-17,07:42:08.840639,51957.320935655545,1.083,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
teucer0031.a.fits,A,2797 teucer,target,moving,+07:32:03.14,+41:58:07.1,2001-02-17,07:44:31.195605,51957.32258328247,1.082,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
sao418690032.a.fits,A,sao 41869,standard,fixed,+07:35:16.12,+40:30:23.0,2001-02-17,07:48:13.492524,51957.325156163475,1.072,3.0,5,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
sao418690033.b.fits,B,sao 41869,standard,fixed,+07:35:16.12,+40:30:30.4,2001-02-17,07:48:47.267636,51957.32554707912,1.072,3.0,5,spex,0.5x15,Prism,2001A109,Emery,7.647383,HD  60234,G0,8.31,7.64,6.49,6.226,6.16,
sao982910034.a.fits,A,sao 98291,target,fixed,+09:01:03.49,+12:32:36.4,2001-02-17,07:53:29.249914,51957.32881076289,1.103,15.0,1,spex,0.5x15,Prism,2001A109,Emery,2.938773,HD  77150,G0,9.65,9.12,8.131,7.9,7.842,
sao982910035.b.fits,B,sao 98291,target,fixed,+09:01:03.50,+12:32:43.8,2001-02-17,07:54:05.082894,51957.32922549646,1.102,15.0,1,spex,0.5x15,Prism,2001A109,Emery,2.938773,HD  77150,G0,9.65,9.12,8.131,7.9,7.842,
odysseus0036.a.fits,A,1143 odysseus,target,moving,+08:57:14.21,+13:11:00.5,2001-02-17,08:00:38.282265,51957.33377641511,1.077,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0037.b.fits,B,1143 odysseus,target,moving,+08:57:14.15,+13:11:08.1,2001-02-17,08:03:00.647678,51957.33542416294,1.073,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0038.b.fits,B,1143 odysseus,target,moving,+08:57:14.13,+13:11:08.3,2001-02-17,08:05:17.986412,51957.33701373162,1.07,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0039.a.fits,A,1143 odysseus,target,moving,+08:57:14.10,+13:11:01.2,2001-02-17,08:07:40.382080,51957.33866182963,1.066,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0040.a.fits,A,1143 odysseus,target,moving,+08:57:14.06,+13:11:01.3,2001-02-17,08:09:57.728103,51957.340251482674,1.062,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0041.b.fits,B,1143 odysseus,target,moving,+08:57:14.03,+13:11:09.0,2001-02-17,08:12:20.124880,51957.34189959352,1.059,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0042.b.fits,B,1143 odysseus,target,moving,+08:57:14.02,+13:11:09.0,2001-02-17,08:14:37.464603,51957.34348917365,1.056,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0043.a.fits,A,1143 odysseus,target,moving,+08:57:13.96,+13:11:01.8,2001-02-17,08:16:59.877286,51957.34513746859,1.052,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
sao982910044.a.fits,A,sao 98291,standard,fixed,+09:01:03.64,+12:32:35.8,2001-02-17,08:20:59.651922,51957.34791263798,1.056,10.0,2,spex,0.5x15,Prism,2001A109,Emery,2.938773,HD  77150,G0,9.65,9.12,8.131,7.9,7.842,
sao982910045.b.fits,B,sao 98291,standard,fixed,+09:01:03.66,+12:32:43.1,2001-02-17,08:21:45.102471,51957.34843868601,1.055,10.0,2,spex,0.5x15,Prism,2001A109,Emery,2.938773,HD  77150,G0,9.65,9.12,8.131,7.9,7.842,
odysseus0046.a.fits,A,1143 odysseus,target,moving,+08:57:13.83,+13:11:02.4,2001-02-17,08:24:24.364411,51957.350281995496,1.043,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0047.b.fits,B,1143 odysseus,target,moving,+08:57:13.80,+13:11:09.9,2001-02-17,08:26:46.819925,51957.35193078617,1.04,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
odysseus0048.b.fits,B,1143 odysseus,target,moving,+08:57:13.77,+13:11:09.9,2001-02-17,08:29:04.162470,51957.35352039896,1.038,120.0,1,spex,0.5x15,Prism,2001A109,Emery,,,,,,,,,
