FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt50699.a.fits,A,2001 KX67,target,moving,+22:38:02.98,+55:05:46.8,2001/9/25,41:52.5,52177.36241,1.225,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50700.b.fits,B,2001 KX67,target,moving,+22:38:03.10,+55:05:53.6,2001/9/25,44:13.3,52177.36404,1.225,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50701.b.fits,B,2001 KX67,target,moving,+22:38:03.23,+55:05:52.9,2001/9/25,46:31.2,52177.36564,1.225,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50702.a.fits,A,2001 KX67,target,moving,+22:38:03.44,+55:05:44.0,2001/9/25,48:52.0,52177.36727,1.225,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50703.a.fits,A,2001 KX67,target,moving,+22:38:03.56,+55:05:43.3,2001/9/25,51:09.8,52177.36886,1.226,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50704.b.fits,B,2001 KX67,target,moving,+22:38:03.65,+55:05:50.1,2001/9/25,53:30.7,52177.37049,1.226,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50705.a.fits,A,HD 210144,standard,fixed,+22:06:41.64,+53:07:50.5,2001/9/25,59:06.1,52177.37438,1.215,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50706.b.fits,B,HD 210144,standard,fixed,+22:06:41.57,+53:07:58.4,2001/9/25,59:55.9,52177.37495,1.215,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50707.b.fits,B,HD 210144,standard,fixed,+22:06:41.54,+53:07:58.2,2001/9/25,00:42.7,52177.37549,1.216,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50708.a.fits,A,HD 210144,standard,fixed,+22:06:41.61,+53:07:50.7,2001/9/25,01:32.5,52177.37607,1.216,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50709.a.fits,A,HD 210144,standard,fixed,+22:06:41.61,+53:07:50.7,2001/9/25,02:19.3,52177.37661,1.217,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50710.b.fits,B,HD 210144,standard,fixed,+22:06:41.57,+53:07:58.3,2001/9/25,03:09.1,52177.37719,1.218,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50711.a.fits,A,HD 210144,standard,fixed,+22:06:41.62,+53:07:50.8,2001/9/25,04:25.6,52177.37807,1.219,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50712.b.fits,B,HD 210144,standard,fixed,+22:06:41.59,+53:07:58.3,2001/9/25,05:15.4,52177.37865,1.22,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
flat0713.a.fits,A,flat lamp,calibration,fixed,+22:06:41.66,+53:07:50.6,2001/9/25,06:27.8,52177.37949,1.22,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0714.a.fits,A,flat lamp,calibration,fixed,+22:06:41.68,+53:07:50.5,2001/9/25,06:54.1,52177.37979,1.221,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0715.a.fits,A,flat lamp,calibration,fixed,+22:06:41.69,+53:07:50.3,2001/9/25,07:20.4,52177.3801,1.221,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0716.a.fits,A,flat lamp,calibration,fixed,+22:06:41.71,+53:07:50.2,2001/9/25,07:46.6,52177.3804,1.221,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0717.a.fits,A,flat lamp,calibration,fixed,+22:06:41.72,+53:07:50.1,2001/9/25,08:12.8,52177.3807,1.222,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0718.a.fits,A,arc lamp,calibration,fixed,+22:06:41.74,+53:07:50.0,2001/9/25,08:46.1,52177.38109,1.222,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
