FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
spec0001.a.fits,A,824 Anastasia,target,moving,+19:24:44.44,-20:29:49.2,2001/9/29,01:07.7,52181.20912,1.313,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0002.b.fits,B,824 Anastasia,target,moving,+19:24:44.49,-20:29:41.9,2001/9/29,03:24.3,52181.2107,1.313,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0003.a.fits,A,824 Anastasia,target,moving,+19:24:44.66,-20:29:49.6,2001/9/29,06:49.8,52181.21308,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0004.b.fits,B,824 Anastasia,target,moving,+19:24:44.76,-20:29:42.2,2001/9/29,09:06.4,52181.21466,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0005.b.fits,B,824 Anastasia,target,moving,+19:24:44.87,-20:29:42.4,2001/9/29,11:17.9,52181.21618,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0006.a.fits,A,824 Anastasia,target,moving,+19:24:44.98,-20:29:50.2,2001/9/29,13:34.4,52181.21776,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0007.a.fits,A,824 Anastasia,target,moving,+19:24:45.04,-20:29:50.5,2001/9/29,15:46.1,52181.21928,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0008.b.fits,B,824 Anastasia,target,moving,+19:24:45.09,-20:29:43.1,2001/9/29,18:02.7,52181.22086,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0009.b.fits,B,824 Anastasia,target,moving,+19:24:45.15,-20:29:43.2,2001/9/29,20:14.2,52181.22239,1.312,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0010.a.fits,A,824 Anastasia,target,moving,+19:24:45.25,-20:29:51.1,2001/9/29,22:30.8,52181.22397,1.313,120,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0011.a.fits,A,44 Nysa,target,moving,+19:44:29.05,-21:29:36.9,2001/9/29,29:55.9,52181.22912,1.332,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0012.b.fits,B,44 Nysa,target,moving,+19:44:29.05,-21:29:29.6,2001/9/29,30:42.5,52181.22966,1.332,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0013.a.fits,A,44 Nysa,target,moving,+19:44:29.10,-21:29:37.1,2001/9/29,32:06.4,52181.23063,1.331,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0014.b.fits,B,44 Nysa,target,moving,+19:44:29.08,-21:29:29.8,2001/9/29,32:52.9,52181.23117,1.331,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0015.b.fits,B,44 Nysa,target,moving,+19:44:29.09,-21:29:29.8,2001/9/29,33:34.4,52181.23165,1.331,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0016.a.fits,A,44 Nysa,target,moving,+19:44:29.13,-21:29:37.3,2001/9/29,34:21.0,52181.23219,1.331,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
spec0017.a.fits,A,44 Nysa,target,moving,+19:44:29.16,-21:29:37.2,2001/9/29,35:02.5,52181.23267,1.331,30,1,spex,0.5x15,Prism,2001B072,Kelley,,,,,,,,,,
