FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
flat1001.a.fits,A,flat lamp,calibration,fixed,+13:04:40.94,+19:49:36.0,2001/6/21,28:16.1,52081.22796,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1002.a.fits,A,flat lamp,calibration,fixed,+13:05:04.07,+19:49:36.0,2001/6/21,28:39.3,52081.22823,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1003.a.fits,A,flat lamp,calibration,fixed,+13:05:27.40,+19:49:36.0,2001/6/21,29:02.4,52081.2285,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1004.a.fits,A,flat lamp,calibration,fixed,+13:05:50.64,+19:49:36.0,2001/6/21,29:25.6,52081.22877,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1005.a.fits,A,flat lamp,calibration,fixed,+13:06:13.77,+19:49:36.0,2001/6/21,29:48.7,52081.22904,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1006.a.fits,A,flat lamp,calibration,fixed,+13:06:37.10,+19:49:36.0,2001/6/21,30:11.9,52081.2293,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1007.a.fits,A,flat lamp,calibration,fixed,+13:07:00.13,+19:49:36.0,2001/6/21,30:35.0,52081.22957,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1008.a.fits,A,flat lamp,calibration,fixed,+13:07:23.37,+19:49:36.0,2001/6/21,30:58.2,52081.22984,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1009.a.fits,A,flat lamp,calibration,fixed,+13:07:46.60,+19:49:36.0,2001/6/21,31:21.3,52081.23011,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1010.a.fits,A,flat lamp,calibration,fixed,+13:08:09.83,+19:49:36.0,2001/6/21,31:44.5,52081.23038,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
flat1011.a.fits,A,flat lamp,calibration,fixed,+13:08:33.17,+19:49:36.0,2001/6/21,32:07.7,52081.23064,1,0.6,20,spex,0.8x15,Prism,2001A004,Binzel,,,,,,,,,,
