FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
flat0001.a.fits,A,flat lamp,calibration,fixed,+19:41:51.90,+50:31:03.5,2001/10/6,48:20.6,52188.20024,1.165,0.6,20,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
flat0002.a.fits,A,flat lamp,calibration,fixed,+19:41:51.89,+50:31:03.5,2001/10/6,48:44.3,52188.20051,1.165,0.6,20,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
flat0003.a.fits,A,flat lamp,calibration,fixed,+19:41:51.89,+50:31:03.5,2001/10/6,49:07.6,52188.20078,1.165,0.6,20,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
flat0004.a.fits,A,flat lamp,calibration,fixed,+19:41:51.90,+50:31:03.4,2001/10/6,49:30.9,52188.20105,1.165,0.6,20,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
flat0005.a.fits,A,flat lamp,calibration,fixed,+19:41:51.90,+50:31:03.4,2001/10/6,49:54.1,52188.20132,1.164,0.6,20,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
arc0006.a.fits,A,arc lamp,calibration,fixed,+19:41:51.90,+50:31:03.4,2001/10/6,50:23.7,52188.20166,1.164,0.18,10,spex,0.8x15,Prism,2001B047,Abell,,,,,,,,,,
spec0007.a.fits,A,SAO 31899,standard,fixed,+19:41:51.99,+50:31:03.4,2001/10/6,05:16.7,52188.212,1.163,0.5135,1,spex,0.8x15,Prism,2001B047,Abell,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
spec0008.b.fits,B,SAO 31899,standard,fixed,+19:41:51.96,+50:31:11.1,2001/10/6,05:23.6,52188.21208,1.163,0.5135,1,spex,0.8x15,Prism,2001B047,Abell,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
spec0009.b.fits,B,SAO 31899,standard,fixed,+19:41:51.96,+50:31:11.1,2001/10/6,05:25.4,52188.2121,1.163,0.5135,1,spex,0.8x15,Prism,2001B047,Abell,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
spec0010.a.fits,A,SAO 31899,standard,fixed,+19:41:51.96,+50:31:03.4,2001/10/6,05:32.2,52188.21218,1.163,0.5135,1,spex,0.8x15,Prism,2001B047,Abell,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
