FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
sp7.1001.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.10,+00:08:03.4,2001/8/14,43:54.8,52135.2805,1.086,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1002.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.16,+00:08:11.0,2001/8/14,45:33.5,52135.28164,1.084,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1003.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.18,+00:08:10.9,2001/8/14,47:07.2,52135.28272,1.083,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1004.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.12,+00:08:03.3,2001/8/14,48:46.0,52135.28387,1.081,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1005.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.12,+00:08:03.2,2001/8/14,50:19.7,52135.28495,1.08,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1006.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.19,+00:08:10.7,2001/8/14,51:58.5,52135.28609,1.079,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1007.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.22,+00:08:10.5,2001/8/14,53:32.3,52135.28718,1.077,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1008.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.17,+00:08:03.1,2001/8/14,55:11.0,52135.28832,1.076,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1009.a.fits,A,land_ 110-361,standard,fixed,+18:42:45.19,+00:08:03.0,2001/8/14,56:44.7,52135.28941,1.075,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
sp7.1010.b.fits,B,land_ 110-361,standard,fixed,+18:42:45.27,+00:08:10.4,2001/8/14,58:23.4,52135.29055,1.074,30,2,spex,0.8x15,Prism,2001B111,Bus,TYC  447-508-1,,Star,13.057,12.425,12.265978,11.211,10.926,10.86,
