FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_SEP,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
spec0001.a.fits,A,SAO120107,standard,fixed,+13:46:58.12,+06:01:35.1,2001-03-12,10:29:29.851751,51980.43715106193,1.242,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0002.b.fits,B,SAO120107,standard,fixed,+13:46:58.11,+06:01:42.6,2001-03-12,10:29:56.613133,51980.43746080015,1.241,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0003.b.fits,B,SAO120107,standard,fixed,+13:46:58.11,+06:01:42.6,2001-03-12,10:30:13.021390,51980.43765071053,1.24,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0004.a.fits,A,SAO120107,standard,fixed,+13:46:58.13,+06:01:35.1,2001-03-12,10:30:39.444073,51980.43795652862,1.238,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0005.a.fits,A,SAO120107,standard,fixed,+13:46:58.13,+06:01:35.1,2001-03-12,10:30:55.853961,51980.438146457884,1.237,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0006.b.fits,B,SAO120107,standard,fixed,+13:46:58.12,+06:01:42.6,2001-03-12,10:31:22.285129,51980.438452374176,1.236,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0007.b.fits,B,SAO120107,standard,fixed,+13:46:58.11,+06:01:42.6,2001-03-12,10:31:38.682936,51980.43864216361,1.234,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0008.a.fits,A,SAO120107,standard,fixed,+13:46:58.12,+06:01:35.2,2001-03-12,10:32:05.346165,51980.4389507658,1.233,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0009.a.fits,A,SAO120107,standard,fixed,+13:46:58.14,+06:01:35.2,2001-03-12,10:32:21.737181,51980.43914047663,1.232,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0010.b.fits,B,SAO120107,standard,fixed,+13:46:58.13,+06:01:42.8,2001-03-12,10:32:48.157164,51980.439446263474,1.231,8.0,1,spex,0.5x15,Prism,2001A062,Cushing,4.032924,HD 120050,G5III,9.9,9.26,8.056,7.779,7.718,
spec0011.a.fits,A,SAO100819,standard,fixed,+14:01:36.81,+17:40:07.3,2001-03-12,10:37:55.502059,51980.44300349605,1.211,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0012.b.fits,B,SAO100819,standard,fixed,+14:01:36.81,+17:40:14.8,2001-03-12,10:38:06.604899,51980.44313200114,1.211,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0013.b.fits,B,SAO100819,standard,fixed,+14:01:36.81,+17:40:14.8,2001-03-12,10:38:07.669561,51980.443144323624,1.211,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0014.a.fits,A,SAO100819,standard,fixed,+14:01:36.83,+17:40:07.5,2001-03-12,10:38:18.855305,51980.44327378825,1.21,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0015.a.fits,A,SAO100819,standard,fixed,+14:01:36.82,+17:40:07.5,2001-03-12,10:38:19.907865,51980.44328597066,1.21,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0016.b.fits,B,SAO100819,standard,fixed,+14:01:36.79,+17:40:15.1,2001-03-12,10:38:31.015726,51980.44341453387,1.21,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0017.b.fits,B,SAO100819,standard,fixed,+14:01:36.80,+17:40:15.0,2001-03-12,10:38:32.209591,51980.44342835175,1.209,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0018.a.fits,A,SAO100819,standard,fixed,+14:01:36.81,+17:40:07.4,2001-03-12,10:38:43.346078,51980.443557246275,1.209,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0019.a.fits,A,SAO100819,standard,fixed,+14:01:36.81,+17:40:07.4,2001-03-12,10:38:44.413892,51980.44356960523,1.209,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0020.b.fits,B,SAO100819,standard,fixed,+14:01:36.80,+17:40:15.0,2001-03-12,10:38:55.506615,51980.44369799323,1.208,0.18,1,spex,0.5x15,Prism,2001A062,Cushing,1.104995,HD 122443,G5,7.554,6.384,3.855,3.335,3.071,
spec0021.a.fits,A,1998 SF36,target,moving,+13:05:54.98,+17:49:30.3,2001-03-12,10:42:13.479603,51980.44598934726,1.062,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0022.b.fits,B,1998 SF36,target,moving,+13:05:55.56,+17:49:40.8,2001-03-12,10:44:40.856459,51980.44769509791,1.058,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0023.b.fits,B,1998 SF36,target,moving,+13:05:56.13,+17:49:43.4,2001-03-12,10:46:58.246319,51980.44928525832,1.055,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0024.a.fits,A,1998 SF36,target,moving,+13:05:56.70,+17:49:38.8,2001-03-12,10:49:25.652918,51980.45099135322,1.052,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0025.a.fits,A,1998 SF36,target,moving,+13:05:57.25,+17:49:41.5,2001-03-12,10:51:43.063634,51980.452581755024,1.048,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0026.b.fits,B,1998 SF36,target,moving,+13:05:57.82,+17:49:51.7,2001-03-12,10:54:10.628696,51980.454289683985,1.045,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0027.b.fits,B,1998 SF36,target,moving,+13:05:58.35,+17:49:54.2,2001-03-12,10:56:27.995395,51980.45587957633,1.042,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0028.a.fits,A,1998 SF36,target,moving,+13:05:58.95,+17:49:49.7,2001-03-12,10:58:55.404443,51980.45758569957,1.039,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0029.a.fits,A,1998 SF36,target,moving,+13:05:59.49,+17:49:52.3,2001-03-12,11:01:12.940940,51980.459177557175,1.036,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0030.b.fits,B,1998 SF36,target,moving,+13:06:00.07,+17:50:02.5,2001-03-12,11:03:40.420286,51980.46088449405,1.034,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0031.a.fits,A,1998 SF36,target,moving,+13:06:00.94,+17:49:59.0,2001-03-12,11:07:16.433313,51980.46338464483,1.03,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0032.b.fits,B,1998 SF36,target,moving,+13:06:01.51,+17:50:09.3,2001-03-12,11:09:43.875972,51980.465091157086,1.027,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
spec0033.b.fits,B,1998 SF36,target,moving,+13:06:02.06,+17:50:11.8,2001-03-12,11:12:01.217039,51980.46668075277,1.025,120.0,1,spex,0.5x15,Prism,2001A062,Cushing,6.796694,[GM2013] SDSS 2603-54479-486 SN,SNIa,0.0,0.0,0.0,0.0,0.0,
