FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt30371.a.fits,A,HD 186427,standard,fixed,+19:41:51.97,+50:31:02.2,2001/9/23,38:42.4,52175.23521,1.165,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt30372.b.fits,B,HD 186427,standard,fixed,+19:41:51.97,+50:31:09.9,2001/9/23,39:17.6,52175.23562,1.165,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt30373.b.fits,B,HD 186427,standard,fixed,+19:41:51.96,+50:31:09.9,2001/9/23,39:49.7,52175.23599,1.165,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt30374.a.fits,A,HD 186427,standard,fixed,+19:41:52.01,+50:31:02.1,2001/9/23,40:25.0,52175.2364,1.164,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt30375.a.fits,A,HD 186427,standard,fixed,+19:41:52.02,+50:31:02.3,2001/9/23,40:57.1,52175.23677,1.164,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt30376.b.fits,B,HD 186427,standard,fixed,+19:41:51.97,+50:31:09.7,2001/9/23,41:32.3,52175.23718,1.164,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
flat0377.a.fits,A,flat lamp,calibration,fixed,+19:41:52.12,+50:31:01.9,2001/9/23,43:40.8,52175.23867,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0378.a.fits,A,flat lamp,calibration,fixed,+19:41:52.18,+50:31:01.9,2001/9/23,44:07.0,52175.23897,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0379.a.fits,A,flat lamp,calibration,fixed,+19:41:52.24,+50:31:01.9,2001/9/23,44:33.2,52175.23927,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0380.a.fits,A,flat lamp,calibration,fixed,+19:41:52.30,+50:31:01.9,2001/9/23,44:59.4,52175.23958,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0381.a.fits,A,flat lamp,calibration,fixed,+19:41:52.36,+50:31:01.9,2001/9/23,45:25.6,52175.23988,1.164,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
